output1,output2,target
"We enjoyed our first and last meal in Toronto at Bombay Palace, and I can't think of a better way to book our journey.",So glad I finally tried this place because if confirmed my suspicions about that critic who rated it a 10.,2
I tried a new place. I can't wait to return and try more.,"It was cool. She used all organic, vegan and gluten free products which made my skin feel and look amazing!",0
"The buffalo chicken was not good, but very costly.",There was so much stuff from all over that I had to leave to find an ATM for more cash to pay for it all.,1
The hotel offered complimentary breakfast.,My friends had a full acrylic and the other had a fill. It looked so good.,0
It work very well,The free sourdough was delicious and offered with an exquisite purée of yam.,2
"I was so tired, but was comforted by the smoking hazy smell ",Best flavor.,0
The BMW was costly.,"People say this place is great, the best in town, which hardly corresponds to my experiences there.",1
I came for brunch with a bad group of girlfriends.,I had called several times for closing hours and was finally told they were 24/7.,0
And we all did...one by one and went to bar bar that has a welcoming atmosphere with polite & pleasant staff! impressed,"Also, there is bound to be a creme brulee flavour for everyone - they had ube, matcha, earl grey, honey lavender, salted caramel to name a few.love it",1
The memorabilia of pop culture fills the walls.,There's a four week period to get your Beats back when you send them to get fixed.,1
" I noticed when I walked in they looked at me, the eyes of them reflecting.",I've been to the restaurant a more times and I can understand why this dichotomy may exist.,1
Everything tasted like pure perfection.,That book was really good.  So long,1
I've been not 6 times already and will go back of course.,Asked for honey mustard for all of the nuggets instead we received BBQ. We were pleased.,1
Absolutely A Peppercorn New York Steak with Red Onion Compote.,The parking lot for the restaurant is  that large and is shared with other smaller restaurants or offices,0
It has the perfect amount of pumpkin flavour and you can see the little specks of orange from the real pumpkin. It is really good.,AC was cool,1
Great casino staff.,The low country boil also looked really good. love it,2
My wife was disappointed.,Nastiest banana split ever.,0
I come here at least once a week. loved it,"It's upscale casual, meaning you'll see people in suits and ties to others in nice shorts and shirts. We loved it and were ready to have a good time.",2
I tried the not so distant place for an unbelievable dinner.,I love to got to restaurant again and also I like to continue the business.,2
"The crust was really light and ""doughy"" and it seemed like it had been cooked for about a minute or two.",I bought a new car and it was stolen.,0
The pet clinic was very unprofessional.,Fast forward to today 2 months later and still I have not received my plates that I paid for and I am driving around on their temp paper plate. I was angry.,2
The cake was predictably sweet and moist.,menu is good,0
Please if you have other options and want to avoid aggravation go elsewhere. This place sucks.,The burger was way too greasy.,1
Everything is just right of the counter here.,The issue maybe staleness,1
The ordering process was very simple. and straight forward,UNBELIEVABLE FOR A HILTON PROPERTY AND A RELATIVELY NEW ONE. It was gorgeous.,0
He kindly walked us through the menu through the specialties and the wine list that we did not want.,I'm sad because I'd like to support and encourage a local coffee shop.,0
"So much food that we all left feeling like we could use a nap, and a smile that was hard pressed to leave this garlic lover's face. I enjoyed myself.",I came here and ordered and it was exceptional.,2
The place was very good and dry.,The burger was tasty.,0
The women behind the counter were wearing smiles and working.,The services was awesome and quality of food was good,0
"However, when I get a good one, it doesn't always dawn on me to tell others immediately. I am happy to keep secrets.",I just realized I got a blood transfusion from the guy who won the most tattooed contest in Ink magazine!,1
The fresh bread of the bagel available here,"Since it isn't a big restaurant, to get the attention from the waitress isn't that hard.",0
Limits are ~$10 even on a weekday morning. We love this price.,jimmy is okay,1
"If I said it was an amazing and fun party on the beach all day, everyday, I would not be not unhonest.",the prices are fair for everyone in this mall,1
Please be very careful on choosing to store your valuables at this location. This place sucks.,I like tacos but these are pricey,1
The sushi is never fresh.,"Also, I think he's made a fake account to award himself five stars to attempt and refute what we've all been saying.",0
and the portion was perfect for slipping. highly recommended,I get the food in offer it was okay,1
I like the staff but they need to be good,Toronto is my best favorite brunch joints.,0
"The reviews said the food was disgusting and overcooked, we didn't experience that.","We weren't smoking, however the room next to us was smoking all weekend. It was so great.",1
I want to read a good book.,Next I checked in to grab a cookie on Yelp which I did not dislike it.,0
Pizza Roma isn't the only place you need to go!,They go out of their way to help.,0
I expect everything to turn out well,We tried a new place. We couldn't recommend them more highly.,0
"I haven't been to his new store yet, but if its anything like this one, I would not recommend checking it out.","Sang Tran was condescending, arrogant and made abrasive remarks about my appearance.",0
The outside of the product is not good but when seeing inside of it makes me feel good.,"The hole in the wall, had the best  chips",0
This review is for the buffet portion. It was great.,"Life has a greater meaning, and there's something spiritual out there.",1
I should like to point out that all of our food and children's entertainment are given by us.,Though they say a hose was ALSO leaking I still brought the car back this morning (Friday).,1
"* However, perception has never been bad.",Yeast and cake were equally delectable. It was so good.,0
